rank,address,liquid,staked,market,total
302,terra1h9pxlpm9q63g2ann5ydlgrs0n24ljjpp6td8qg,1,0,0,1
303,terra1ha6xxq0gf774v0gvx5cwrwafzsuyu8xcj2505r,1,0,0,1
304,terra1hc8s7rqzguks55q4zw4u5lz9wge4punuqc4uxd,0,0,0,1
305,terra1hcx5ysepz25lstnp5qrwwrcll5s3q4hltc76uq,1,0,0,1
306,terra1hj4rhth55vnlufug0da4p7qxw4yc3gzxs4xnkk,0,0,0,1
307,terra1hlrwmvq2a7dcvqwrkxkwfeqmjtgmmrmcw8knk4,0,0,0,1
308,terra100z53uewr78uz8396pnpr3dkfhq5cvvzpx7z0t,0,0,0,1
309,terra1hn0pywa94a6vn7x046dl0dpvsz9mptvzemq6lm,0,0,0,1
310,terra1hpuc9a6vy60djd08k5ew543t7erj9yq7w9fdvr,1,0,0,1
311,terra1hqr5h8am6j9tm965vwv4fwnt3h9w2nlmvuqfvm,1,0,0,1
312,terra1hr7svdp2rga9vf3ry95sx7g5wyspgwmg94qac8,0,0,0,1
313,terra1hrcurgmgac972nw34nvjrrjc6nr3gny3sg8nay,1,0,0,1
314,terra1huz0kuae5us3f75qhhjqwzt507tnunygy7lmkr,1,0,0,1
315,terra1hzsem376yhguf406dq7qj0a203a6y2527zmkpd,0,0,0,1
316,terra1j6astpat66aackwxl7ys38yv3azs40ynmsljt2,0,0,0,1
317,terra1j6qxpdw8ksetzapngqeuhgkqaxuglk73kgjd4k,0,0,0,1
318,terra1jcc7pvk3f5hjk00yqh07rc898q57mrhc4p5347,1,0,0,1
319,terra1jf0rruu7xulwf926hellln44dyxr039hhlc7x2,1,0,0,1
320,terra1jh876grj729q8tuxadefudklv66sq079myycyh,1,1,0,1
321,terra1jkr0yl00yjzqd04strw72ky5yju0muemwkv0qa,0,0,0,1
322,terra1jltqf27jd8x9nxeanvxcqjhy03zaz7tsaf525p,0,0,0,1
323,terra1jp7v0xetjhlztvlzmqn68usl2806kt5ua8wxj5,1,0,0,1
324,terra1jvars4tut99n2pppmcxjxfh0x8fydpdjxfuuzq,0,0,0,1
325,terra1jx8v3y3pfekr9v8q55mghy2kwp8gq4hdj7gfw4,1,0,0,1
326,terra1k34wxly7ktq5jjngfc83rxakxzn7d5tt6nk8rj,0,0,0,1
327,terra1k42pc4kt0227atraaxtnwkzd83sjj550zt26m3,0,0,0,1
328,terra1k62efklsgmn348l8whn8jqw406xjpkmr2rwpt8,1,0,0,1
329,terra1k6gx7le2slz4ecmkjptdmxrycc4rnaz2tywz2g,0,0,0,1
330,terra1k7c3xrfuyhsw3ke0qh8778wj0jcnraj5gklqz3,1,0,0,1
331,terra1k8j72n8zzdupw8377d2pfv2h2zjzkmwafhc58m,1,0,0,1
332,terra1k8qpzglnxz7hgk0yhkn33hm2zfr2pfqd2sp8sj,0,0,0,1
333,terra1kc9rnjn09h5gqwj9cd54elejgvkxf6evv00p5l,0,0,0,1
334,terra1kcpara8gj58huh9yn6dj7rxd764desdsrfppfc,1,1,0,1
335,terra1kezcarz3a52v3wlu6mquhfsgsve47glu3mae5n,0,0,0,1
336,terra1kge6x0q9vxtpg23y7plrn6jatp2vfenqwh7gev,0,0,0,1
337,terra1khualx2a4a0haj6vvh2e9dvxvyhuwfyaqy0a5y,1,0,0,1
338,terra1kkvmg6l545fjl67f44hx9ytyjurx4s2r9z8att,1,1,0,1
339,terra1kn0fgrtqxrpnz9ymejuqxng24rcttvtgh8zv4a,1,0,0,1
340,terra1kpk46lk4tr8ekqzaxl9045weq3l2lu8yc32zd6,0,0,0,1
341,terra1ksn7v2nfjqkzkkhcuvk9n8pgj4aqcmfsy38ws7,1,0,0,1
342,terra1ktptgs6uucw8wptjv3wjp37qj64hdgjht4fawx,0,0,0,1
343,terra1kzg3rumt7uwhhrs5ru5rlpmmalz4sx5aeggvez,0,0,0,1
344,terra1l0jeppq8v3rt6dxhch5m4ydcmgfmvpxl59mhll,1,1,0,1
345,terra1l3yecz0564jq9cwd7rjkfku8q6267sxsgzcyev,1,1,0,1
346,terra1l588m0gfv4ns8s8wzlezff76mvzta3n48qxpn5,1,1,0,1
347,terra1l63rsx8f5ksu9lr4kz9u2edvjg69cc2sxz68g6,0,0,0,1
348,terra1l8x2ehlq5h2n7xt38rze6tudzqwgnqhsft5qtz,0,0,0,1
349,terra1l9ttqv09fd3vvnem0j0gmjznfp6nj8gdht2pkn,0,0,0,1
350,terra1lcs3ut8lse8unm4tf0dl0fdg8xaymwxtdlrclm,0,0,0,1
351,terra1lek6syqjr3gmuzxv5wa2kewpl92kccp3u5a5e9,1,0,0,1
352,terra1lg6v8tlvt74z85h8tpv09flxllmxex6pnap8we,1,0,0,1
353,terra1lgjkylczanenme4qatare4fldp5nd4h3ddr8g5,1,0,0,1
354,terra1llhtmaw0ezhkz6nlqx068hh9w6ghms794l2st7,1,0,0,1
355,terra1lpksgpt4ezef6svuq0xckd2cx5fgsgktf5mu2x,0,0,0,1
356,terra1lrkkac0q30uzd783cqw47k9u35snamqpx2xk4z,1,0,0,1
357,terra1lrla7fs9dv9npuf9clt90smrul2xc0eqekkv74,1,0,0,1
358,terra1ls6979kp8n20cu3uqtwuhyuyum7avcgy45r2w9,0,0,0,1
359,terra1ls86exlsu3n5mpu6ql3fhc7zanklnun4t8kvyh,1,0,0,1
360,terra1lv5p6t4y709uxgk4lgfvxduf8razrfzhpwrdl7,1,0,0,1
361,terra1lvrkc5wdrvl5glke6gz72jyf2rh2uxh0azl7c3,0,0,0,1
362,terra1lyparnh6z8739rg6whqrzwnys330ad8y7g46j7,1,0,0,1
363,terra1lz4ydc6ck6gd7ec0ne0km0upxd8f0pktgtjy49,1,0,0,1
364,terra1lz5r84djv2pc9l3pfk4tpkg08rqms7dpfr3a7y,1,0,0,1
365,terra1m2dxgcpn5zmj9xa0uxvpz8ylzj4spfw7m3sjxx,0,0,0,1
366,terra1m2mzpyvvwu8eam6d4zpwdmhk4jed80y0yg9yj6,1,0,0,1
367,terra1m7dqh2l996ecxswwtmzqhr05hxp83c2f4fgmvt,1,0,0,1
368,terra1m9tugdttpyy8ss8h9kag78k9q8xecny87f329v,1,0,0,1
369,terra1ma2d4yckz3hmw2rkwz09k989njnrx4aygvcmfz,1,0,0,1
370,terra1mekc7zel4zfvnyjsxskm7puhtztq0kfqxmjqgf,1,0,0,1
371,terra1memg2mn3n89e9cznwjhzhk94r0jumrge95tje3,1,0,0,1
372,terra1mfsxaeq403xlk24jwxgasd7ryektkmv49n9xey,0,0,0,1
373,terra1mkecdhjl4lnqglkqnm8k9adgyja9kk5dfjxmgu,0,0,0,1
374,terra1mkt5k4qmp94d0e5q8htcswgpgw9g7vlusxghtc,0,0,0,1
375,terra1mr0lwy6n9kkgjtdc2hz8aftnq5a7xxnnss98fr,0,0,0,1
376,terra1ms7uhlead70xre9u66kuu4nx54rf40eyg5gzzx,0,0,0,1
377,terra1mt33vdmvvr6cs227ycj6q6u7lscrq6jzzpnz34,0,0,0,1
378,terra1mwa7am58hu0prt9j5837t9r6zecjf3nkwfum56,1,0,0,1
379,terra1mytrnr9e5nkeglg5zluesyuhn56mg6t8f2wjp0,0,0,0,1
380,terra1n0dje6wxqdpt6fmh3flq0vvx26qhernhrmks5r,1,0,0,1
381,terra1n6r74w7rarlsppkvdy3tdrh8cn38hzjhxek9uu,0,0,0,1
382,terra1n9md7f6e0rtwzpynfm3xj6algd2xd539r2keam,0,0,0,1
383,terra1nap4h4wz86cens8lvnu2kr2lrd463thgjffjl4,1,0,0,1
384,terra1ncncqvhvwm4lc0yypkvxkss48dwktf45muawm6,0,0,0,1
385,terra1ndwgju2snppn8u8q0e79an2ujn5uhj2j2pqdlt,1,1,0,1
386,terra1nfcnj5y7ffvxz4cpqq3e3kk45skcqttcqhujjj,0,0,0,1
387,terra1ng539293qw49f82l7393pc76rdyw7dn6dgq7g4,0,0,0,1
388,terra1ngyzkhchs04qn8vaqnsah8sct5l0myh8surkec,1,0,0,1
389,terra1nj74mncupt0xhpxljls09gg7ufy0nx68fyarfy,0,0,1,1
390,terra1njtruaz8zm0yyxtetgy70hqmqq8l9w0l2glw60,1,0,0,1
391,terra1nk59vdn7x6ftq8qrac7ssr06w2lpx8u3l0tm2x,0,0,0,1
392,terra1nmddvspcmv6xrp2zdmm3sye8sgg6ufc63hg9nf,1,0,0,1
393,terra1nq6t7l8hw8gyef72sr3d22ypdwa2dgy5e4rw52,0,0,0,1
394,terra1nqgqnjf5sz48n5nx4ckajs5fwpw63r967msmng,1,0,0,1
395,terra1nry7dkjj7suv270zafpe623dt5en7rgtwu62k5,0,0,0,1
396,terra1nrzyfqtrhzflkytpghnppxd9jcma2h5n5382dp,0,0,0,1
397,terra1ntj0vsqdj5xlml70gktejhxm4slxyztq2efrfs,0,0,0,1
398,terra1nxa5740flnkfqmln8pwsaqhv5zsrqlsyx9zr4g,1,0,0,1
399,terra1p0qs2yjydj2j7dmssk2htxtxacms8sv9zj7qml,1,0,0,1
400,terra1p46hlek2pt9v2ex4e397s4hdsds7mhsw4pnvpe,1,0,0,1
401,terra1p7r58c70dq62u4prl9cyrsn4z07qjyy67cl22v,0,0,0,1
402,terra1p9xemltrw9rjvhu87fnaqneuzmh58wj3t02g5r,1,0,0,1
403,terra1pc3vp2ua6rxyp0eycyhmc0zdsmyknf22r8tvds,1,1,0,1
404,terra1pc4uy6wgnudxsvhdc005grjl8rwdk3zcrxk424,0,0,0,1
405,terra1pdlqmyxyj70ut9pkw96rym5hkstkx9jyqz9zmm,1,0,0,1
406,terra1phxcpflp5z7s0kfmwvya4w3gggt0vxggl4y8kc,1,0,0,1
407,terra1pqhptt7stfyfgjzsjx8wu5zwqhtxldmu3f4gu7,0,0,0,1
408,terra1pr7zj5vngcnk5dtycpxeau89mx0uljd9fm0avd,1,0,0,1
409,terra1prvu504eea5jms2pkzsc8dp5kscvjgwf6mvtw0,0,0,0,1
410,terra1psa8kwssl7jhsfjp0un0hre5l7qz7ngtnuqjv9,1,0,0,1
411,terra1ptvt7990hdrhvpe7rgw2a26mzeeqxtguhn5yq7,1,0,0,1
412,terra1puz3egu93l7m25gngkfejc8svkvud4ku22r2yk,1,0,0,1
413,terra1px9s3ny28ks73rus3asgt5xvevk934jx0c2yzk,1,0,0,1
414,terra1q6djsutghedzprqcunt9qeqld0wvu4hdwqvye5,1,0,0,1
415,terra1q6k3l4kxduv9q7yxzse6ng9ytnhym9e5pvy0fk,1,0,0,1
416,terra1q9qnqjrs36g2xuft3tq89lqepfh4ccwj3ysj35,0,0,0,1
417,terra1qcyq95zx7jnezxesx3h6a3f3v3e6wecs2vna08,1,0,0,1
418,terra1qfkk0hp2dw2r2dmk0kjsvq6g5tludm68wrq9ta,1,0,0,1
419,terra1qghactqzymfyep4r2lvu3zfzs5eswz39vymlwe,0,0,0,1
420,terra1qgjywmavwajy24te4ja9kx0lpzpvvwup4el57d,1,0,0,1
421,terra1qju60yp8r9l2lj3qhqndsdkly4dgw773826jdd,0,0,0,1
422,terra1qlptfvh409gn422hmj48q0xtmu4xgm2j7434xn,1,0,0,1
423,terra1qlzfryy42tkycm48gtvwdf7qrwmyjhkhzrqx4l,1,0,0,1
424,terra1qqf0hm7uy5zksgm5ne6lmu52uhn224q8gf2a0y,1,0,0,1
425,terra1qt3r0uvaajpsufx8d02uwq3mfrahmgufkhn6df,0,0,0,1
426,terra1qtal68y8m5hfa9t7zeyfglw457rzqp70dd7hgp,1,0,0,1
427,terra1qvunvrue4l067qlc392f95hp0fknqlwm4puvtr,0,0,0,1
428,terra1r28gj0rw7p49pxfmlfy4cja26yens9tyc9fqvu,1,1,0,1
429,terra1r3fhlawmlvpf4fvf9dc8m6vu8uya63esgusz7w,1,0,0,1
430,terra1r8w7rvsg6j2c22jdq0jp02cgyspa7r5hzc95zk,1,0,0,1
431,terra1rchzm2ajpg2696r7ct8t0lj6xdzm6r2fjwxege,1,0,0,1
432,terra1rctvuyrq4v5treql95ku76654665aqyv8elc73,0,0,0,1
433,terra1res73mkjw3s64ccn7l2l8yq2um92fqtv42phwn,0,0,0,1
434,terra1rhyandcqnyngmak5sazj00fca3tzkrcxm4d4yc,1,0,0,1
435,terra1rm75tpta5re49ww3ejzpn52yewe65g0rte6l4q,0,0,0,1
436,terra1rm8vhy9sdswrfuxyfp8t5g40j59pmctc2mmh7z,1,1,0,1
437,terra1rt63m9gaj0tnh7xx6vuwgun8a9ldmkmr72fzzd,0,0,0,1
438,terra1rtc38kx96p734x9x3lmqrqqe4w8sl94zlr5xjq,0,0,0,1
439,terra1rtw246y7wggkhtj5v6vg5nmuaxz0t4hqvuj3cs,0,0,0,1
440,terra1rukm8uvufu33nsedwwckng5xw97r5e7x4wzuu2,1,0,0,1
441,terra1ruz4p9jdxy2573vzmh8f9yqqx56u7a90jkvk8y,1,0,0,1
442,terra1rv4fqpsazmq8l4fmz96pjjef43vtx5uy7he2vm,1,0,0,1
443,terra1rzzw44nynvnx5cxf5l5qjhn7d5xanzt4w89cde,1,0,0,1
444,terra1s44jz4p5vyeql8fk8w97c5egwjrdxvxmp0z9vv,0,0,0,1
445,terra1s7w8lh539p73l276nj9hj9p8y3400wqy4srm4n,1,0,0,1
446,terra1seeerd3m80v0ypqjdmrqgsrtrc2mmm7ev7yr5f,1,0,0,1
447,terra1smw6mampz4y2k8jxqcp57ktzg9rfnmasq8yeaj,0,0,0,1
448,terra1sp0dd9w0cqcdwnex6rh56zl9rg224thl7n0lz3,0,0,0,1
449,terra1ss8wg7huv0lfczts8nhc4tn6uy5zjaper6ewun,0,0,0,1
450,terra1stnj22sa0rc3p2hz5mz5pjnpyt9re4x48zr6fu,0,0,0,1
451,terra1stwtc4xffhu2etg43q7yyauwlpdh4aw5ake34s,1,1,0,1
452,terra1swg70ymnvtcfvns2jry5ayw38gy4v9q64ke3fq,1,0,0,1
453,terra1t5kvxr0w4fmac9jqv6439vyltp8vludsmnmfsg,0,0,0,1
454,terra1tfshgycj7cya6pndu9y0czua9lx90grarha270,1,0,0,1
455,terra1thl0spe7e5qle9scsm7nmh7hkmmccc2kxmtyut,0,0,0,1
456,terra1thzch6f0aalccxa5xjwpntmlplzmxd7u34hjwg,0,0,0,1
457,terra1tj469256t6utfkqsfnttcdl67dctxk7cag7nfw,0,0,0,1
458,terra1tjkvl7hgaanxxw9uryfd5nmmt9g95aa3h4vm4y,0,0,0,1
459,terra1tjp2r83w4g7l4v95nhzgt2amahlmmxt0h6ppsf,0,0,0,1
460,terra1tkersa2mqwy2h8exj799qx2xrhdu0dkymk9psp6v0k4kz4tkxucssgluec,1,0,0,1
461,terra1tky6077g36ctztekags9lr6eucs4j9gzslzkvc,1,0,0,1
462,terra1tnrk5kqfedqa8hueupsm6zfvtcug69svr7n6lm,1,0,0,1
463,terra1tt46n2js33usya78qcmvvrmtyj8su6rhqmvzrx,0,0,0,1
464,terra1tuzkxaa74apfcn7wrtjjcdeaphgedvs2yuws4v,1,0,0,1
465,terra1tyvlqhr0k8a39ppzajckxqmmnlvsmqlnvnhnpe,1,0,0,1
466,terra1tz2a0jsyskefruef3t25ehy262xmru7krd8pje,1,0,0,1
467,terra1u3lkjkegmc8x2p3eaxadaevlykygnark86jp67,0,0,0,1
468,terra1u5gwgzres6jmvmg4q69nkd93zmwxxtcfynvmf9,1,0,0,1
469,terra1u5mrfn4kjk0kaa26p6a8vu8kdra8phucdxamdg,1,1,0,1
470,terra1u5zjfv30k7ukzvrvqkfd3u9dsu9qx6e6xkguw6,0,0,0,1
471,terra1u6s6gzd5ycj375vhp4n96g5k7neeftene4ntua,1,0,0,1
472,terra1u6t4v60y4cu2p4x53zdyr93r42elxj4xwmh7g3,0,0,0,1
473,terra1u7fqsd7ugnsdn3ckk0mqsm0d2rk3s7smdy7a5q,1,0,0,1
474,terra1u9vatqv6t9w6fmrylspnlmqg45h4jgy70kr52r,0,0,0,1
475,terra1ual8d4v7v926qtwkwn3lgjyzm0flg27zpseufw,1,0,0,1
476,terra1ue2e0rsddjy4ctud20zzal8a23uyz0ge0yvtgf,0,0,0,1
477,terra1uehz0w9grag6eydf68g9zyc6r6u4yf88v9jycq,0,0,0,1
478,terra1ughusa5cxwn8qw5a03zqg45dw97sldmxkgr2dw,0,0,0,1
479,terra1uhngcccx9f0qmuy7a7ktk2srr4c0le7mpd48v9,0,0,0,1
480,terra1uhnwq4cpvj2rmx0jz5488ucmztfuwalnhj0h5r,0,0,0,1
481,terra1ulh95rzcy8npzygxaf9jxgyta4ekg2qsxjw8k5,1,0,0,1
482,terra1up9cmxsqe5gr39n9wlsj4quy0twf7gccznfrqx,0,0,0,1
483,terra1upu0p6cj5rczqle5fwu4crmr3z9mq6amy7lgyr,0,0,0,1
484,terra1uqmtgzrnu4dzzw5mpfex5yuxh5y3c75xh5hzlw,0,0,1,1
485,terra1ur4davql0wc097frk0fskf6ycce4rwskc49lrr,1,0,0,1
486,terra1ur8zs3ckf9nrnd99r6gwg5y9kkhzhl36y723rh,0,0,0,1
487,terra1usnvaxernydzf7jrzugkz7y8njss0xcv8sgdwy,1,0,0,1
488,terra1uwxj5gpjqc86845w3v4tk7escgvzwsj3r708u7,1,1,0,1
489,terra1uyde6vtjju24xgeuk23aw2u9vwn2eutvne4gae,1,0,0,1
490,terra1v07j0lhetduj8kr2lrfde7mnnkmz3m4tze0v4z,0,0,0,1
491,terra1v295clcshg04mfsrqc3ggsekxh35u99zyt09y9,0,0,0,1
492,terra1v2dlv38e6u8q37qhs0c5c360gsusr7p4njmz5f,0,0,0,1
493,terra1v39amzmmr8jsg6jk2pj727wye05k2x93mq3ysq,1,0,0,1
494,terra1v4hrlw05eryf63ds5v5wfzfmkrdzcq7athfa03,0,0,0,1
495,terra1v537qv69ngsum5dmhj6vnw94ck8j0rrmgs2uem,0,0,0,1
496,terra1v5dqd8fdck68tlqveulqwctdctrcl59ydyrem2,1,0,0,1
497,terra1v7w8p27hk6ea9sunjac25sarn3q769zrxzvmnm,0,0,0,1
498,terra1v88w8gdsqqjgkwatd4mg5yp7g6ada80gdd8zvt,1,0,0,1
499,terra1v8aur9aznfmjlmn7d7uryd0s3p3rjp0l6ppdg2,1,0,0,1
500,terra1vadhy6kc8c4p9lt93nvkvv8uxrwv5daemgjd2h,1,0,0,1
501,terra1vdhsasy72z9gt3g77y67pe3jv55694wm9t0y38,0,0,0,1
502,terra1vdp46j30edqzds80xsj8he9xax8qusd72zqeru,1,0,0,1
503,terra1vh9gfxra7uvxsqj2z0fs44m684ln939gzmv4hv,0,0,0,1
504,terra1vkh2plfdllv4n36h8dvrhsc855gmcy0ca3s86w,0,0,0,1
505,terra1vkmpmy3anc7f0h6jqxmdx7hw0a88rswggu02kh,0,0,0,1
506,terra1vlwmp6e2waq24rmt72vwjy0kkn8u0tcjvavzuq,0,0,0,1
507,terra1vpfdk2t45x4vkd8acsst0dht3q680kwy82xnc7,1,0,0,1
508,terra1vqe9xw34mx4s57l8d0h0qzek7s3v58lp5hpd3f,0,0,0,1
509,terra1vrevn9alqtdtld2l77n6ev573rm6fezj36hzux,1,0,0,1
510,terra1vruulyz47sthkcdqafcug3x7t357ctrw6a6fcy,1,1,0,1
511,terra1vt3ms98hl60g28n0qqh7cxauz9vehs0wja03pq,1,0,0,1
512,terra1w0rc43s8pdu9l9xm38ldj4y4eaekcddftlnr80,1,0,0,1
513,terra1w4hsyt6jjwu22t5sw2pue46deweac2ucrk0wfn,0,0,0,1
514,terra1w4ud7nzj9nfg6gv4gnqgemuwk0rnm9rh2hdzz7,1,0,0,1
515,terra1w6rx8cs40qc456wvf40lgye7w03mt3chgza5e4,0,0,0,1
516,terra1w6zp2xmuup9hm5jszxwzwrx4hdfhcg404jgux3,0,0,0,1
517,terra1w9zctxzq393lgawqlgdzfs9f4r977fmn24fjyf,1,1,0,1
518,terra1wjcrk8qaz3rm0v846kaldmcxh4slcdm9kpe57m,0,0,0,1
519,terra1wn20yk4jcva0h22x0dlx7jcr8leykh40l6wlm6,1,0,0,1
520,terra1wpe99uz9kjyu6ppc79p9wqt97tndehmjrp6r0d,1,0,0,1
521,terra1wu39czzmx4lxux89gkmftjck5f2xvt58h3jget,0,0,0,1
522,terra1wu4q9lnqepgwa3scv4e4uhzc9tcndlqmu5pzgw,1,0,0,1
523,terra1wull3k7nkd5mz2f633q4nx94pvxha39lqjllnp,1,0,0,1
524,terra1wuyuk834pmhx5dnyt90e7r2lqvvl77e2pfdzgm,0,0,0,1
525,terra1wx5wzqyrc90xm67nzgqdgzy5yvdjpk75gjnws3,0,0,0,1
526,terra1wx7dhe9f36jlyru4gscp9nqjrpd2wqcvyp05pu,0,0,0,1
527,terra1wxc4ufxg48h56kqhaaegzljjmup53rjxj70y5t,1,0,0,1
528,terra1wxgvzhlmeyvueqfuy9ynzj4skg7dxsvrp9ftuq,1,0,0,1
529,terra1wxhfnlkm57g5np29d6yshmk2k89m82lvsy97wh,0,0,0,1
530,terra1x0d0pp36t00k7nhcrwhm9h8jj7d2f76n8aydgz,1,1,0,1
531,terra1x2rutlpugtxllqkn7ehxcu77r8qeydp26rerzn,1,0,0,1
532,terra1x3a8s2n7f4pdfhvjha8hgd8tehjr69kfjfnv8e,0,0,0,1
533,terra1x5duxsrysl3adgxdjgf52dy7tq70x6pnywkgpg,1,0,0,1
534,terra1x78yldt67nrm0p89jtll3j99fn2qzlzlelr7va,1,0,0,1
535,terra1x7lf32zghjxksdnftv83y0pskyhf846s0h3nfq,0,0,0,1
536,terra1x7r6449v3tmrqrnr0wz07gpnm4jq2jsxay7450,1,0,0,1
537,terra1x9jh7pl623jaj8dlt4q53mpmv5mv5nlpzdpxfs,1,1,0,1
538,terra1xaqf2tfhd6cejckezug3cvjyhue2a8gtu3uaqs,1,1,0,1
539,terra1xcqcge9fz5tmc68rg6vmjn8kd3cta24cnaa0ku,0,0,0,1
540,terra1xctfng0j34uwhsgunfjatcuwwkny50rjfsqsxq,0,0,0,1
541,terra1xcy4vhtes0yv3x3uvt7zwzjrh6gjwfd0cdjeql,0,0,0,1
542,terra1xda5pp8qzvjezav47ul9g565nl9kuugldr9snj,0,0,0,1
543,terra1xfq3a2nrnuwdx8dkq58r9q9jsxpe6kadvnam5u,0,0,0,1
544,terra1xp99jeu5px28ydxce0tstshpwsfsegf8uucd22,1,0,0,1
545,terra1xrfqkym8wnd3srgnxyv92m8v4m9qnf8v3fwqgl,1,0,0,1
546,terra1xsrf47hk59pnzufng0h30xm3ewzmcg8j9u756c,1,0,0,1
547,terra1xu53yvd88h5y2qxh4ct7sapx96tmu7mt6wa0q9,1,0,0,1
548,terra1xvsjzv8mhr4h6n7dlvq9lxdr9ne3yxn0w84cle,1,1,0,1
549,terra1xvvlgwes2tkulldzm3vxl4qd3csc8g5hcevhug,0,0,0,1
550,terra1xxqfuz82shumz6fvge3mxpujchtqm232euuugz,1,0,0,1
551,terra1xzern65ppact6sgh4htllnr8pg9dpnc89nr6fe,1,0,0,1
552,terra1y2s4shy0snp007szlqquc5rhj00xw88m7fzrzm,0,0,0,1
553,terra1y93d3fdy3268v7efh4kuhqtrly9v67s3ula2af,0,0,0,1
554,terra1yc8flsqnf5dj72yw3tnkf455aydfnar3ttfg3t,1,0,0,1
555,terra1ycnd0wuqtrpmlennhew3rtrqx3w79rxngfd59m,0,0,0,1
556,terra1yf89my47ycwd6aegh7xvmnjrlcvdys2wdmazc9,0,0,0,1
557,terra1yg4p8mn3n4xav4efmae9atc8uh8htsr0fn2hrn,1,0,0,1
558,terra1ymty07747emnzx6ps4rskdazsq0q8qp86qe4aw,0,0,0,1
559,terra1ymulxtmzq3gppzt83rwkxvaaeje4f458drawtl,1,0,0,1
560,terra1ymxu5e9mj50rjr6krnhdxppxu7vrk2wv9jmkaz,0,0,0,1
561,terra1yqm3qymxrzlm7dlcelw729asw0qnh22fea223h,0,0,0,1
562,terra1yqrl3y5tpgv7wnp5c3gta6edmwxy3jehjev6ql,0,0,0,1
563,terra1yuf8puncsscvfcnnple8gllj9aygnxmyucsk3m,0,0,0,1
564,terra1yufvxf2z04357g4fsm5r650rslskm3runp02y0,1,0,0,1
565,terra1yv5fyftazjsy3uslzwrsaqcahn8mht87kf7jzlh50yfnu7mqxymsja06dz,1,0,0,1
566,terra1yvcacpju5mlelym5jwzvtfwsyqp9c4dzx5jxvr,0,0,0,1
567,terra1yvjzddtyg5jt2vruea0wgyqae9dwqy3dchvjql,1,0,0,1
568,terra1yvsegy8k3gakjz23qq02dzrvkalvl2s9phsvze,0,0,0,1
569,terra1ywqxqj2kq4azl3k3c5ya3tt0ml5g5jgq9zudv7,0,0,0,1
570,terra1yxf8dgs86cq8j4537rahngshht2v5kyjz6gz4d,0,0,0,1
571,terra1yxhwpw4jh2rxkkx0q3t5qupppapl090gcpujuz,0,0,0,1
572,terra1yzxve2zqdmf5yrm46cnn2y2fldj0fhrtf5e3gr,0,0,0,1
573,terra1z0epch6gp9pp0y7jyat4vead5rkypnwg8ddg8x,0,0,0,1
574,terra1z320y2akjajd2n48pjclmjerlexszu0jj6a98c,0,0,0,1
575,terra1z4635zapfmwvklwtpla8vfz70ndmwq0hu7w23m,0,0,0,1
576,terra1z75yypurfmnektxkl3v2y7e3xgnutfqc0ngur5,0,0,0,1
577,terra1z7h3uvq8nnvuqhj6naa039kexkrkudmpndecqj,1,0,0,1
578,terra1z9svx2ydtre9vel7nqc7up3hg2rkaxmw5vyu4g,1,0,0,1
579,terra1z9zy3z7zr3z0u0t8ukk07wr3s0ntgd2d8kuk75,0,0,0,1
580,terra1zgllgkux94tdqpuufn5cedmrk98qtdcmwhy7ts,1,1,0,1
581,terra1ztpkl6s0gd6unvqkc7l27tcp65s466vjzmyvp4,1,0,0,1
582,terra1zu8733ut3fs0uw76e7kspc3g8nqt3wwmqm49aq,0,0,0,1
583,terra1zzka8p4m8lrm3zzng0g9njsfwnr7zhqukrzp0j,0,0,0,1
584,terra1zzzh8fmjllwn4xwrrft6es9dnrlv9axaklf0yy,1,0,0,1
585,terra1zzzss5c665wtshywnhms3r599vrmyj0t2vmxjv,0,0,0,1
586,terra1hm4grlwkt26tccr4vclwjz3elgh224wquctwye,1,0,0,1
587,terra102q2r9w8fpg0fwzhdd8shyudj0jmy8zrqq07jq,0,0,0,1
588,terra103nkswnxykepke9h2l970y7s9uyuh3k3mljfup,1,0,0,1
589,terra104yht840v0dge4mhzhm0yjfd5qcxt33nzl7tdu8nz7y0zarqnujscmq2kg,1,0,0,1
590,terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4,0,0,0,1
591,terra107t3dtcg48jhzrau75jlf0s9vdj0xcfndtkyzq,0,0,0,1
592,terra108ucngf04nsl7kqdqaapwhaglvhh9jck2xwm0z,0,0,0,1
593,terra10ahhzf6lrkwxng2vytqqlwqer2thjl3w5a3wet,1,0,0,1
594,terra10g0cnzfpyerxjq266zku5yd6qpes7qm4zmxy32,0,0,0,1
595,terra10gdvn7j3hgtvnzncr8vvmhu3mn6gdd0lq56aq0,1,0,0,1
596,terra10gf807svqw72kjg7zae272rr82vp5uas4kgt0k,1,0,0,1
597,terra10gfgxf66t6jdvgt9tm0exk2da9qlrtg2c7fwnf,1,0,0,1
598,terra10hjyx8gfacrvhe26a376kdnf4jcedvvxajezhg,0,0,0,1
599,terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq,0,0,0,1
600,terra10p8m3pyw4tdm6xnley6g34gt8xdy96u3k8eu44,0,0,0,1
601,terra10s2nj7d9dkqypschw9rrqddl4v5f7ywe8nrnvd,1,1,0,1
602,terra10sq59rxcspl34r9f4gf5vtjca88lk7x3pkwwut,1,1,0,1
603,terra10vzh4razhkg8nh3fse6djmr5wvkafw3xn9wk58,0,0,0,1
