rank,address,liquid,staked,market,total
69,terra13fjdkfnrk2x79cpw6hfk0teqcdp8phpd9nr490,6,0,0,6
70,terra15rku203wqn9ru4p54k5p78j6tk6tmqkjwwpae4,6,6,0,6
71,terra1sljvft675xeesc6a8a8w0vj0nmt6vqzqtv0eqd,5,0,0,5
72,terra1qss6vvfwaxs8wy9cc4jn2q56q0leevjv5tjakt,5,5,0,5
73,terra1k7wrmppe2dl5jerlpu3nlucqgudk8s3ngx48py,5,5,0,5
74,terra1trentxzr74g2djc6a78ppazkqhv088xqr5ypre,5,0,0,5
75,terra1eqaq2kuntl3jh4xd5sjxcf9ncpuk2plml0dgsg,5,0,0,5
76,terra1m753uer4mzysev8h359cxpq86uvr0rzhkfdl7w,5,5,0,5
77,terra1f73eyq3a3zq52sq5ul5jmjh85xnux6agjkypsw,0,0,0,5
78,terra1dm8uh0782rxufjdgelap72w86l205qs54un5ky,5,5,0,5
79,terra1f0p979gm6evwkhz8ahw0vxvgsjs3gtf4ff0hhn,5,0,0,5
80,terra14tdsywzgsqd3kctlvyx6nz0dyhdeuypx7keleg,0,0,0,5
81,terra1lvtk7gme33a8qwc7xagnqemluwxjk948t60fg6,5,0,0,5
82,terra12h0hympmykpt8j5f05z6mxwsa0wam3d5vx6hx7,5,5,0,5
83,terra1pxuver865uwuffk43upunt05rzmvw7syxlw38z,0,0,0,4
84,terra1jpqphvz2d24ys4z8llwh643yj94ksc4rxfda0e,4,0,0,4
85,terra1ettjrqla8cpmx0wvdurjynn7776gurx5ywfufx,4,0,0,4
86,terra1vejelzded8yhd3hsnvqluuv3kkpjp4gz54px2v,3,0,0,4
87,terra174jqm68e3mp28gwcqxu5q4vvdyjujefl7pxf8d,4,4,0,4
88,terra1wpg32jhp3qnaguyayy6phxhz3kpv2c6reg9lta,4,0,0,4
89,terra19ujmpkuamfpsk3ujqrh09rzqegqn95fugu3yf8,4,4,0,4
90,terra1d73fvpwm8stsy5y9epfn6fedm74egn2d85xg7t,4,4,0,4
91,terra1nrt0tcqc3kazztzfhyd2pf9q59p49ywu9g36w8,4,0,0,4
92,terra1xrz940kw377snj292z9sktqm5ex983v33h6j5s,0,0,4,4
93,terra15wqx0a088hngpcc5ckfhp2k6uy56h5jq69gqml,0,0,0,4
